hour,views
000000,9
000001,0
000002,1
000003,2
000004,4
000005,0
000006,6
000007,10
000008,8
000009,14
000010,13
000011,65
000012,10
000013,76
000014,22
000015,39
000016,79
000017,39
000018,4
000019,52
000020,34
000021,4
000022,50
000023,37
000024,51
000025,3
000026,11
000027,1
000028,18
000029,1
000030,20
000031,18
000032,47
000033,106
000034,97
000035,33
000036,33
000037,91
000038,91
000039,135
000040,112
000041,75
000042,62
000043,29
000044,47
000045,71
000046,34
000047,63
000048,23
000049,30
000050,12
000051,0
000052,2
000053,0
000054,14
000055,24
000056,47
000057,55
000058,40
000059,28
000060,90
000061,134
000062,86
000063,45
000064,48
000065,54
000066,23
000067,83
000068,71
000069,18
000070,18
000071,37
000072,18
000073,10
000074,0
000075,0
000076,0
000077,5
000078,11
000079,8
000080,51
000081,60
000082,118
000083,83
000084,76
000085,84
000086,90
000087,109
000088,62
000089,62
000090,63
000091,119
000092,49
000093,42
000094,50
000095,43
000096,44
000097,4
000098,10
000099,9
000100,6
000101,6
000102,5
000103,34
000104,17
000105,67
000106,59
000107,53
000108,73
000109,108
000110,99
000111,62
000112,48
000113,63
000114,64
000115,63
000116,52
000117,38
000118,24
000119,54
000120,7
000121,7
000122,6
000123,1
000124,4
000125,7
000126,0
000127,23
000128,43
000129,48
000130,30
000131,50
000132,45
000133,127
000134,122
000135,40
000136,45
000137,98
000138,47
000139,39
000140,20
000141,84
000142,26
000143,9
000144,3
000145,1
000146,3
000147,0
000148,0
000149,2
000150,1
000151,15
000152,3
000153,42
000154,39
000155,21
000156,38
000157,20
000158,73
000159,50
000160,39
000161,44
000162,66
000163,90
000164,12
000165,53
000166,43
000167,28
000168,18
000169,8
000170,0
000171,13
000172,2
000173,0
000174,18
000175,56
000176,28
000177,67
000178,18
000179,42
000180,66
000181,27
000182,102
000183,27
000184,28
000185,92
000186,39
000187,56
000188,127
000189,26
000190,43
000191,11
000192,12
000193,6
000194,27
000195,0
000196,0
000197,10
000198,14
000199,28
000200,51
000201,30
000202,55
000203,52
000204,63
000205,131
000206,83
000207,54
000208,181
000209,59
000210,79
000211,53
000212,53
000213,45
000214,93
000215,27
000216,16
000217,11
000218,13
000219,5
000220,23
000221,11
000222,9
000223,42
000224,79
000225,115
000226,86
000227,43
000228,66
000229,69
000230,58
000231,54
000232,14
000233,41
000234,59
000235,44
000236,66
000237,100
000238,79
000239,31
000240,18
000241,4
000242,8
000243,0
000244,1
000245,0
000246,7
000247,29
000248,101
000249,68
000250,46
000251,29
000252,83
000253,55
000254,99
000255,119
000256,61
000257,35
000258,42
000259,53
000260,92
000261,119
000262,87
000263,56
000264,16
000265,3
000266,2
000267,18
000268,2
000269,0
000270,11
000271,25
000272,30
000273,97
000274,75
000275,20
000276,60
000277,51
000278,82
000279,71
000280,37
000281,45
000282,38
000283,51
000284,72
000285,87
000286,59
000287,20
000288,46
000289,10
000290,3
000291,0
000292,2
000293,1
000294,17
000295,34
000296,41
000297,36
000298,70
000299,42
000300,83
000301,37
000302,58
000303,81
000304,114
000305,36
000306,44
000307,111
000308,44
000309,12
000310,35
000311,47
000312,9
000313,28
000314,2
000315,11
000316,10
000317,0
000318,3
000319,36
000320,12
000321,40
000322,31
000323,54
000324,59
000325,32
000326,26
000327,36
000328,37
000329,69
000330,17
000331,45
000332,46
000333,36
000334,77
000335,15
000336,23
000337,17
000338,2
000339,5
000340,1
000341,0
000342,1
000343,11
000344,25
000345,8
000346,6
000347,51
000348,14
000349,86
000350,41
000351,46
000352,49
000353,53
000354,36
000355,34
000356,37
000357,31
000358,33
000359,23
000360,8
000361,5
000362,26
000363,0
000364,0
000365,3
000366,9
000367,24
000368,55
000369,40
000370,33
000371,62
000372,92
000373,51
000374,82
000375,105
000376,53
000377,29
000378,59
000379,51
000380,71
000381,41
000382,67
000383,31
000384,35
000385,92
000386,4
000387,2
000388,8
000389,0
000390,1
000391,49
000392,75
000393,84
000394,90
000395,55
000396,83
000397,82
000398,79
000399,157
000400,55
000401,52
000402,67
000403,8
000404,56
000405,68
000406,117
000407,100
000408,49
000409,22
000410,4
000411,11
000412,0
000413,1
000414,11
000415,36
000416,45
000417,74
000418,98
000419,32
000420,35
000421,71
000422,65
000423,101
000424,114
000425,76
000426,53
000427,47
000428,123
000429,46
000430,22
000431,23
000432,12
000433,10
000434,13
000435,0
000436,0
000437,4
000438,19
000439,37
000440,61
000441,74
000442,65
000443,92
000444,56
000445,102
000446,42
000447,62
000448,47
000449,24
000450,78
000451,33
000452,57
000453,52
000454,49
000455,16
000456,9
000457,16
000458,1
000459,1
000460,2
000461,20
000462,4
000463,29
000464,114
000465,139
000466,157
000467,253
000468,153
000469,128
000470,142
000471,120
000472,267
000473,82
000474,80
000475,101
000476,54
000477,38
000478,158
000479,32
000480,49
000481,28
000482,9
000483,19
000484,4
000485,13
000486,2
000487,85
000488,74
000489,68
000490,52
000491,43
000492,33
000493,23
000494,80
000495,26
000496,47
000497,72
000498,31
000499,37
000500,124
000501,52
000502,56
000503,41
000504,29
000505,10
000506,26
000507,1
000508,0
000509,0
000510,2
000511,9
000512,31
000513,60
000514,29
000515,78
000516,79
000517,47
000518,16
000519,58
000520,39
000521,66
000522,57
000523,141
000524,16
000525,83
000526,65
000527,19
000528,2
000529,18
000530,11
000531,0
000532,0
000533,9
000534,17
000535,56
000536,60
000537,99
000538,142
000539,89
000540,65
000541,177
000542,74
000543,173
000544,57
000545,47
000546,80
000547,69
000548,80
000549,95
000550,42
000551,24
000552,20
000553,2
000554,7
000555,1
000556,4
000557,0
000558,9
000559,56
000560,155
000561,193
000562,101
000563,91
000564,90
000565,128
000566,78
000567,110
000568,115
000569,54
000570,48
000571,38
000572,78
000573,103
000574,113
000575,56
000576,16
000577,9
000578,0
000579,0
000580,10
000581,28
000582,11
000583,51
000584,120
000585,93
000586,77
000587,84
000588,54
000589,86
000590,61
000591,59
000592,51
000593,64
000594,67
000595,108
000596,82
000597,137
000598,139
000599,61
000600,20
000601,17
000602,15
000603,11
000604,12
000605,1
000606,62
000607,22
000608,57
000609,95
000610,119
000611,153
000612,61
000613,96
000614,86
000615,170
000616,93
000617,59
000618,97
000619,129
000620,80
000621,126
000622,44
000623,65
000624,76
000625,8
000626,7
000627,7
000628,5
000629,5
000630,11
000631,17
000632,31
000633,68
000634,78
000635,60
000636,29
000637,126
000638,40
000639,75
000640,91
000641,87
000642,52
000643,104
000644,115
000645,77
000646,65
000647,27
000648,39
000649,7
000650,26
000651,42
000652,10
000653,0
000654,8
000655,1
000656,12
000657,13
000658,57
000659,50
000660,48
000661,37
000662,37
000663,36
000664,55
000665,62
000666,31
000667,49
000668,52
000669,25
000670,35
000671,26
000672,67
000673,37
000674,6
000675,3
000676,20
000677,1
000678,1
000679,0
000680,8
000681,10
000682,22
000683,61
000684,28
000685,49
000686,42
000687,48
000688,42
000689,40
000690,39
000691,51
000692,37
000693,38
000694,85
000695,38
000696,4
000697,25
000698,11
000699,10
000700,40
000701,26
000702,0
000703,19
000704,22
000705,66
000706,99
000707,76
000708,158
000709,67
000710,112
000711,92
000712,84
000713,33
000714,55
000715,76
000716,101
000717,69
000718,37
000719,41
000720,38
000721,15
000722,3
000723,1
000724,7
000725,2
000726,4
000727,5
000728,102
000729,69
000730,59
000731,65
000732,129
000733,78
000734,133
000735,72
000736,85
000737,58
000738,48
000739,36
000740,60
000741,66
000742,46
000743,62
000744,28
000745,4
000746,10
000747,0
000748,0
000749,22
000750,6
000751,32
000752,94
000753,96
000754,24
000755,54
000756,74
000757,96
000758,48
000759,91
000760,80
000761,44
000762,72
000763,89
000764,30
000765,32
000766,74
000767,39
000768,36
000769,53
000770,5
000771,31
000772,1
000773,24
000774,72
000775,15
000776,37
000777,41
000778,55
000779,70
000780,116
000781,108
000782,82
000783,114
000784,62
000785,53
000786,137
000787,79
000788,81
000789,80
000790,113
000791,76
000792,45
000793,20
000794,1
000795,0
000796,1
000797,5
000798,8
000799,22
000800,112
000801,72
000802,143
000803,59
000804,32
000805,81
000806,43
000807,77
000808,106
000809,108
000810,67
000811,31
000812,57
000813,34
000814,45
000815,47
000816,24
000817,8
000818,13
000819,3
000820,10
000821,36
000822,2
000823,5
000824,24
000825,22
000826,49
000827,47
000828,34
000829,43
000830,28
000831,38
000832,23
000833,65
000834,32
000835,33
000836,33
000837,47
000838,38
000839,57
000840,35
000841,2
000842,7
000843,7
000844,3
000845,0
000846,4
000847,16
000848,32
000849,15
000850,39
000851,64
000852,67
000853,58
000854,41
000855,43
000856,93
000857,59
000858,41
000859,48
000860,27
000861,109
000862,61
000863,63
000864,9
000865,8
000866,1
000867,0
000868,0
000869,24
000870,47
000871,49
000872,66
000873,73
000874,121
000875,46
000876,34
000877,114
000878,78
000879,247
000880,112
000881,87
000882,80
000883,145
000884,135
000885,102
000886,87
000887,73
000888,34
000889,5
000890,3
000891,0
000892,3
000893,10
000894,29
000895,83
000896,103
000897,60
000898,107
000899,61
000900,72
000901,164
000902,107
000903,84
000904,62
000905,78
000906,57
000907,34
000908,81
000909,125
000910,59
000911,42
000912,5
000913,17
000914,13
000915,0
000916,1
000917,2
000918,5
000919,90
000920,51
000921,61
000922,171
000923,86
000924,94
000925,65
000926,158
000927,101
000928,131
000929,150
000930,79
000931,86
000932,74
000933,82
000934,80
000935,50
000936,9
000937,3
000938,5
000939,5
000940,10
000941,3
000942,2
000943,52
000944,307
000945,162
000946,164
000947,82
000948,88
000949,111
000950,146
000951,63
000952,72
000953,63
000954,54
000955,45
000956,81
000957,49
000958,65
000959,31
000960,49
000961,16
000962,4
000963,2
000964,1
000965,1
000966,203
000967,120
000968,157
000969,231
000970,132
000971,174
000972,136
000973,74
000974,128
000975,80
000976,100
000977,72
000978,37
000979,94
000980,58
000981,62
000982,198
000983,109
000984,19
000985,25
000986,3
000987,0
000988,0
000989,1
000990,1
000991,12
000992,24
000993,73
000994,51
000995,68
000996,49
000997,50
000998,26
000999,40
001000,79
001001,107
001002,107
001003,21
001004,31
001005,34
001006,24
001007,28
001008,19
001009,13
001010,4
001011,3
001012,0
001013,0
001014,0
001015,35
001016,54
001017,86
001018,32
001019,30
001020,20
001021,42
001022,56
001023,31
001024,48
001025,90
001026,68
001027,41
001028,59
001029,88
001030,19
001031,69
001032,11
001033,1
001034,0
001035,0
001036,0
001037,5
001038,4
001039,9
001040,21
001041,59
001042,93
001043,65
001044,77
001045,105
001046,70
001047,78
001048,93
001049,180
001050,128
001051,78
001052,118
001053,41
001054,87
001055,214
001056,34
001057,24
001058,14
001059,9
001060,6
001061,15
001062,32
001063,31
001064,215
001065,184
001066,110
001067,36
001068,114
001069,76
001070,69
001071,98
001072,93
001073,88
001074,50
001075,53
001076,280
001077,486
001078,125
001079,35
001080,24
001081,7
001082,0
001083,36
001084,0
001085,5
001086,51
001087,88
001088,190
001089,124
001090,96
001091,98
001092,73
001093,145
001094,73
001095,103
001096,184
001097,111
001098,203
001099,86
001100,126
001101,54
001102,55
001103,56
001104,15
001105,13
001106,5
001107,0
001108,1
001109,8
001110,18
001111,14
001112,259
001113,128
001114,85
001115,109
001116,106
001117,176
001118,187
001119,123
001120,132
001121,68
001122,66
001123,90
001124,111
001125,80
001126,123
001127,44
001128,45
001129,0
001130,13
001131,0
001132,0
001133,12
001134,147
001135,127
001136,240
001137,157
001138,111
001139,144
001140,16
001141,73
001142,80
001143,63
001144,66
001145,144
001146,46
001147,62
001148,124
001149,63
001150,72
001151,8
001152,107
001153,2
001154,23
001155,2
001156,1
001157,0
001158,13
001159,22
001160,23
001161,29
001162,60
001163,48
001164,40
001165,48
001166,35
001167,67
001168,101
001169,47
001170,19
001171,22
001172,44
001173,21
001174,46
001175,12
001176,31
001177,2
001178,3
001179,7
001180,44
001181,15
001182,23
001183,41
001184,20
001185,73
001186,41
001187,40
001188,40
001189,22
001190,57
001191,56
001192,70
001193,70
001194,90
001195,23
001196,53
001197,31
001198,38
001199,36
001200,27
001201,13
001202,14
001203,0
001204,5
001205,0
001206,11
001207,8
001208,42
001209,49
001210,71
001211,80
001212,74
001213,64
001214,157
001215,107
001216,59
001217,47
001218,40
001219,67
001220,106
001221,116
001222,59
001223,60
001224,30
001225,11
001226,23
001227,37
001228,0
001229,19
001230,15
001231,18
001232,34
001233,169
001234,118
001235,129
001236,52
001237,107
001238,106
001239,143
001240,132
001241,108
001242,37
001243,48
001244,89
001245,106
001246,76
001247,34
001248,55
001249,19
001250,28
001251,0
001252,0
001253,0
001254,4
001255,26
001256,49
001257,36
001258,58
001259,105
001260,87
001261,75
001262,119
001263,192
001264,105
001265,235
001266,95
001267,102
001268,96
001269,80
001270,58
001271,41
001272,11
001273,3
001274,11
001275,3
001276,1
001277,24
001278,52
001279,48
001280,45
001281,169
001282,88
001283,208
001284,82
001285,77
001286,68
001287,74
001288,73
001289,73
001290,64
001291,101
001292,101
001293,39
001294,30
001295,34
001296,18
001297,12
001298,41
001299,0
001300,2
001301,6
001302,1
001303,53
001304,45
001305,131
001306,53
001307,79
001308,47
001309,70
001310,63
001311,59
001312,43
001313,68
001314,68
001315,31
001316,45
001317,76
001318,28
001319,24
001320,4
001321,10
001322,18
001323,29
001324,2
001325,8
001326,10
001327,1
001328,8
001329,23
001330,40
001331,58
001332,25
001333,31
001334,47
001335,110
001336,87
001337,44
001338,40
001339,34
001340,44
001341,34
001342,35
001343,26
001344,6
001345,49
001346,26
001347,1
001348,3
001349,8
001350,5
001351,19
001352,0
001353,41
001354,107
001355,43
001356,47
001357,54
001358,50
001359,51
001360,146
001361,45
001362,36
001363,15
001364,47
001365,34
001366,41
001367,33
001368,26
001369,16
001370,4
001371,22
001372,4
001373,0
001374,5
001375,0
001376,17
001377,48
001378,95
001379,47
001380,81
001381,15
001382,48
001383,90
001384,107
001385,44
001386,33
001387,49
001388,43
001389,58
001390,34
001391,6
001392,22
001393,17
001394,16
001395,0
001396,15
001397,15
001398,11
001399,29
001400,29
001401,13
001402,34
001403,74
001404,101
001405,70
001406,45
001407,108
001408,119
001409,43
001410,77
001411,55
001412,55
001413,9
001414,39
001415,15